domain,status,protocol,reason
vghgroup.org,unreachable,,HTTPS: Connection error: Cannot connect to host vghgroup.org:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host vghgroup.org:80 ssl:False [getaddrinfo failed]
aiesteam.org,unreachable,,HTTPS: 403 Forbidden (Unknown) | HTTP: 403 Forbidden (Unknown)
energy-health-oriental-massage.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
jerkkingsnj.com,unreachable,,HTTPS: Connection error: Cannot connect to host jerkkingsnj.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host jerkkingsnj.com:80 ssl:False [getaddrinfo failed]
kingfisherseo.com,unreachable,,HTTPS: Connection error: Cannot connect to host kingfisherseo.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host kingfisherseo.com:80 ssl:False [getaddrinfo failed]
hoodriverclothing.com,unreachable,,HTTPS: Connection error: Cannot connect to host hoodriverclothing.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host hoodriverclothing.com:80 ssl:False [getaddrinfo failed]
satyasilence.com,unreachable,,HTTPS: Connection error: Cannot connect to host satyasilence.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host satyasilence.com:80 ssl:False [getaddrinfo failed]
slushpoolglobal.com,unreachable,,HTTPS: Connection error: Cannot connect to host slushpoolglobal.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host slushpoolglobal.com:80 ssl:False [getaddrinfo failed]
trbism.com,unreachable,,HTTPS: Connection error: Cannot connect to host trbism.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host trbism.com:80 ssl:False [getaddrinfo failed]
informatichiamoci.it,unreachable,,HTTPS: Connection error: Cannot connect to host informatichiamoci.it:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host informatichiamoci.it:80 ssl:False [getaddrinfo failed]
mghomeremodelling.info,unreachable,,HTTPS: Connection error: Cannot connect to host mghomeremodelling.info:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host mghomeremodelling.info:80 ssl:False [getaddrinfo failed]
mysavagenails.love,unreachable,,HTTPS: Connection error: Cannot connect to host mysavagenails.love:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host mysavagenails.love:80 ssl:False [getaddrinfo failed]
smallislandent.com,unreachable,,HTTPS: Connection error: Cannot connect to host smallislandent.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host smallislandent.com:80 ssl:False [getaddrinfo failed]
montcapitalpartners.com,unreachable,,HTTPS: Timeout | HTTP: Connection error: Cannot connect to host montcapitalpartners.com:80 ssl:False [getaddrinfo failed]
focusmedicalbillingservices.com,unreachable,,HTTPS: Connection error: Cannot connect to host focusmedicalbillingservices.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host focusmedicalbillingservices.com:80 ssl:False [getaddrinfo failed]
creativehealthplans.com,unreachable,,HTTPS: Connection error: Cannot connect to host creativehealthplans.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host creativehealthplans.com:80 ssl:False [getaddrinfo failed]
fitcivic.com,unreachable,,HTTPS: Connection error: Cannot connect to host fitcivic.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host fitcivic.com:80 ssl:False [getaddrinfo failed]
smv-inc.com,unreachable,,HTTPS: HTTP 500 | HTTP: HTTP 500
